model_name,test_category,root_type,sub_type,count,error_type,original_model_name,model_type,test_category_count
GPT-4-0125-Preview (FC),exec_rest,Function Parsing Error, Incorrect REST Parsing Output Format,1,Function Parsing Error: Incorrect REST Parsing Output Format,gpt-4-0125-preview-FC,FC,70.0
Mistral-Small-2402 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,37,Function Parsing Error: Decoding Failure,mistral-small-2402,Prompt,50.0
Mistral-Small-2402 (Prompt),exec_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,mistral-small-2402,Prompt,50.0
Mistral-Small-2402 (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,2,Executable Function Error (Non REST): Runtime Execution Error,mistral-small-2402,Prompt,100.0
Mistral-Small-2402 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,92,Function Parsing Error: Decoding Failure,mistral-small-2402,Prompt,100.0
Mistral-Small-2402 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,23,Function Parsing Error: Decoding Failure,mistral-small-2402,Prompt,40.0
Mistral-Small-2402 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,13,Function Parsing Error: Decoding Failure,mistral-small-2402,Prompt,50.0
Mistral-Small-2402 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,1,Executable Function Error (REST): Incorrect HTTP Status Code,mistral-small-2402,Prompt,70.0
Mistral-Small-2402 (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,2,Executable Function Error (REST): Incorrect Response Key,mistral-small-2402,Prompt,70.0
Mistral-Small-2402 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,15,Function Parsing Error: Decoding Failure,mistral-small-2402,Prompt,70.0
Command-R-Plus (Prompt) (Original),exec_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,command-r-plus,Prompt,50.0
Command-R-Plus (Prompt) (Original),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,command-r-plus,Prompt,100.0
Command-R-Plus (Prompt) (Original),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,command-r-plus,Prompt,40.0
Command-R-Plus (Prompt) (Original),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,command-r-plus,Prompt,50.0
Command-R-Plus (Prompt) (Original),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,7,Executable Function Error (REST): Incorrect HTTP Status Code,command-r-plus,Prompt,70.0
Command-R-Plus (Prompt) (Original),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,command-r-plus,Prompt,70.0
Command-R-Plus (Prompt) (Original),exec_rest,Executable Function Error (REST), Runtime Execution Error,2,Executable Function Error (REST): Runtime Execution Error,command-r-plus,Prompt,70.0
Command-R-Plus (Prompt) (Optimized),exec_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,command-r-plus-optimized,Prompt,50.0
Command-R-Plus (Prompt) (Optimized),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,command-r-plus-optimized,Prompt,100.0
Command-R-Plus (Prompt) (Optimized),exec_simple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,command-r-plus-optimized,Prompt,100.0
Command-R-Plus (Prompt) (Optimized),exec_parallel_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,command-r-plus-optimized,Prompt,40.0
Command-R-Plus (Prompt) (Optimized),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,command-r-plus-optimized,Prompt,50.0
Command-R-Plus (Prompt) (Optimized),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,7,Executable Function Error (REST): Incorrect HTTP Status Code,command-r-plus-optimized,Prompt,70.0
Command-R-Plus (Prompt) (Optimized),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,command-r-plus-optimized,Prompt,70.0
Command-R-Plus (Prompt) (Optimized),exec_rest,Executable Function Error (REST), Runtime Execution Error,1,Executable Function Error (REST): Runtime Execution Error,command-r-plus-optimized,Prompt,70.0
Mistral-large-2402 (FC Any),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,1,Executable Function Error (Non REST): Incorrect Execution Result,mistral-large-2402-FC-Any,FC Any,100.0
Mistral-large-2402 (FC Any),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,4,Executable Function Error (Non REST): Runtime Execution Error,mistral-large-2402-FC-Any,FC Any,100.0
Mistral-large-2402 (FC Any),exec_parallel_multiple,Value Error, Execution Result Count,7,Value Error: Execution Result Count,mistral-large-2402-FC-Any,FC Any,40.0
Mistral-large-2402 (FC Any),exec_parallel,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,mistral-large-2402-FC-Any,FC Any,50.0
Mistral-large-2402 (FC Any),exec_parallel,Value Error, Execution Result Count,44,Value Error: Execution Result Count,mistral-large-2402-FC-Any,FC Any,50.0
Mistral-large-2402 (FC Any),exec_rest,Executable Function Error (REST), Incorrect Response Key,3,Executable Function Error (REST): Incorrect Response Key,mistral-large-2402-FC-Any,FC Any,70.0
Mistral-large-2402 (FC Any),exec_rest,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,mistral-large-2402-FC-Any,FC Any,70.0
Mistral-tiny-2312 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,37,Function Parsing Error: Decoding Failure,mistral-tiny-2312,Prompt,50.0
Mistral-tiny-2312 (Prompt),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,mistral-tiny-2312,Prompt,50.0
Mistral-tiny-2312 (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,2,Executable Function Error (Non REST): Incorrect Execution Result,mistral-tiny-2312,Prompt,100.0
Mistral-tiny-2312 (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,mistral-tiny-2312,Prompt,100.0
Mistral-tiny-2312 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,51,Function Parsing Error: Decoding Failure,mistral-tiny-2312,Prompt,100.0
Mistral-tiny-2312 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,21,Function Parsing Error: Decoding Failure,mistral-tiny-2312,Prompt,40.0
Mistral-tiny-2312 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,mistral-tiny-2312,Prompt,40.0
Mistral-tiny-2312 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,11,Function Parsing Error: Decoding Failure,mistral-tiny-2312,Prompt,50.0
Mistral-tiny-2312 (Prompt),exec_parallel,Value Error, Execution Result Count,1,Value Error: Execution Result Count,mistral-tiny-2312,Prompt,50.0
Mistral-tiny-2312 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,69,Function Parsing Error: Decoding Failure,mistral-tiny-2312,Prompt,70.0
Claude-3-Haiku-20240307 (Prompt),exec_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,claude-3-haiku-20240307,Prompt,50.0
Claude-3-Haiku-20240307 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,27,Function Parsing Error: Decoding Failure,claude-3-haiku-20240307,Prompt,40.0
Claude-3-Haiku-20240307 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,claude-3-haiku-20240307,Prompt,40.0
Claude-3-Haiku-20240307 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,11,Function Parsing Error: Decoding Failure,claude-3-haiku-20240307,Prompt,50.0
Claude-3-Haiku-20240307 (Prompt),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,claude-3-haiku-20240307,Prompt,50.0
Claude-3-Haiku-20240307 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,3,Executable Function Error (REST): Incorrect HTTP Status Code,claude-3-haiku-20240307,Prompt,70.0
Claude-3-Haiku-20240307 (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,8,Executable Function Error (REST): Incorrect Response Key,claude-3-haiku-20240307,Prompt,70.0
Claude-3-Haiku-20240307 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-haiku-20240307,Prompt,70.0
Meta-Llama-3-70B-Instruct (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,50.0
Meta-Llama-3-70B-Instruct (Prompt),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,50.0
Meta-Llama-3-70B-Instruct (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,1,Executable Function Error (Non REST): Incorrect Execution Result,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,100.0
Meta-Llama-3-70B-Instruct (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,100.0
Meta-Llama-3-70B-Instruct (Prompt),exec_simple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,100.0
Meta-Llama-3-70B-Instruct (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,40.0
Meta-Llama-3-70B-Instruct (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,40.0
Meta-Llama-3-70B-Instruct (Prompt),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,50.0
Meta-Llama-3-70B-Instruct (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,6,Executable Function Error (REST): Incorrect Response Key,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,70.0
Meta-Llama-3-70B-Instruct (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,1,Executable Function Error (REST): Runtime Execution Error,meta-llama_Meta-Llama-3-70B-Instruct,Prompt,70.0
FireFunction-v1 (FC),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,2,Executable Function Error (Non REST): Incorrect Execution Result,fire-function-v1-FC,FC,100.0
FireFunction-v1 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,fire-function-v1-FC,FC,100.0
FireFunction-v1 (FC),exec_simple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,fire-function-v1-FC,FC,100.0
FireFunction-v1 (FC),exec_parallel_multiple,Value Error, Execution Result Count,40,Value Error: Execution Result Count,fire-function-v1-FC,FC,40.0
FireFunction-v1 (FC),exec_parallel,Value Error, Execution Result Count,50,Value Error: Execution Result Count,fire-function-v1-FC,FC,50.0
FireFunction-v1 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,9,Executable Function Error (REST): Incorrect HTTP Status Code,fire-function-v1-FC,FC,70.0
FireFunction-v1 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,fire-function-v1-FC,FC,70.0
FireFunction-v1 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,10,Executable Function Error (REST): Runtime Execution Error,fire-function-v1-FC,FC,70.0
FireFunction-v1 (FC),exec_rest,Function Parsing Error, Decoding Failure,24,Function Parsing Error: Decoding Failure,fire-function-v1-FC,FC,70.0
Claude-2.1 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,7,Function Parsing Error: Decoding Failure,claude-2.1,Prompt,50.0
Claude-2.1 (Prompt),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,claude-2.1,Prompt,50.0
Claude-2.1 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,9,Function Parsing Error: Decoding Failure,claude-2.1,Prompt,100.0
Claude-2.1 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,13,Function Parsing Error: Decoding Failure,claude-2.1,Prompt,40.0
Claude-2.1 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,claude-2.1,Prompt,40.0
Claude-2.1 (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,22,Function Parsing Error: Decoding Failure,claude-2.1,Prompt,50.0
Claude-2.1 (Prompt),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,claude-2.1,Prompt,50.0
Claude-2.1 (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,3,Executable Function Error (REST): Incorrect HTTP Status Code,claude-2.1,Prompt,70.0
Claude-2.1 (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,3,Executable Function Error (REST): Incorrect Response Key,claude-2.1,Prompt,70.0
Claude-2.1 (Prompt),exec_rest,Function Parsing Error, Decoding Failure,33,Function Parsing Error: Decoding Failure,claude-2.1,Prompt,70.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_multiple,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0514,FC,50.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_simple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0514,FC,100.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,gemini-1.5-pro-preview-0514,FC,40.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_parallel,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0514,FC,50.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_parallel,Value Error, Execution Result Count,9,Value Error: Execution Result Count,gemini-1.5-pro-preview-0514,FC,50.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,gemini-1.5-pro-preview-0514,FC,70.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,6,Executable Function Error (REST): Runtime Execution Error,gemini-1.5-pro-preview-0514,FC,70.0
Gemini-1.5-Pro-Preview-0514 (FC),exec_rest,Function Parsing Error, Decoding Failure,3,Function Parsing Error: Decoding Failure,gemini-1.5-pro-preview-0514,FC,70.0
Gorilla-OpenFunctions-v2 (FC),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,gorilla-openfunctions-v2,FC,50.0
Gorilla-OpenFunctions-v2 (FC),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,1,Executable Function Error (Non REST): Incorrect Execution Result,gorilla-openfunctions-v2,FC,100.0
Gorilla-OpenFunctions-v2 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,gorilla-openfunctions-v2,FC,100.0
Gorilla-OpenFunctions-v2 (FC),exec_simple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,gorilla-openfunctions-v2,FC,100.0
Gorilla-OpenFunctions-v2 (FC),exec_parallel_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,gorilla-openfunctions-v2,FC,40.0
Gorilla-OpenFunctions-v2 (FC),exec_parallel,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,gorilla-openfunctions-v2,FC,50.0
Gorilla-OpenFunctions-v2 (FC),exec_parallel,Value Error, Execution Result Count,8,Value Error: Execution Result Count,gorilla-openfunctions-v2,FC,50.0
Gorilla-OpenFunctions-v2 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,2,Executable Function Error (REST): Incorrect HTTP Status Code,gorilla-openfunctions-v2,FC,70.0
Gorilla-OpenFunctions-v2 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,gorilla-openfunctions-v2,FC,70.0
Meta-Llama-3-8B-Instruct (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,4,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,50.0
Meta-Llama-3-8B-Instruct (Prompt),exec_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,50.0
Meta-Llama-3-8B-Instruct (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,2,Executable Function Error (Non REST): Incorrect Execution Result,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,100.0
Meta-Llama-3-8B-Instruct (Prompt),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,4,Executable Function Error (Non REST): Runtime Execution Error,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,100.0
Meta-Llama-3-8B-Instruct (Prompt),exec_simple,Function Parsing Error, Decoding Failure,25,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,100.0
Meta-Llama-3-8B-Instruct (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,40.0
Meta-Llama-3-8B-Instruct (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,2,Value Error: Execution Result Count,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,40.0
Meta-Llama-3-8B-Instruct (Prompt),exec_parallel,Function Parsing Error, Decoding Failure,9,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,50.0
Meta-Llama-3-8B-Instruct (Prompt),exec_parallel,Value Error, Execution Result Count,2,Value Error: Execution Result Count,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,50.0
Meta-Llama-3-8B-Instruct (Prompt),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,8,Executable Function Error (REST): Incorrect HTTP Status Code,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,70.0
Meta-Llama-3-8B-Instruct (Prompt),exec_rest,Executable Function Error (REST), Incorrect Response Key,7,Executable Function Error (REST): Incorrect Response Key,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,70.0
Meta-Llama-3-8B-Instruct (Prompt),exec_rest,Executable Function Error (REST), Runtime Execution Error,6,Executable Function Error (REST): Runtime Execution Error,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,70.0
Meta-Llama-3-8B-Instruct (Prompt),exec_rest,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,meta-llama_Meta-Llama-3-8B-Instruct,Prompt,70.0
GPT-4-1106-Preview (FC),exec_multiple,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,gpt-4-1106-preview-FC,FC,50.0
GPT-4-1106-Preview (FC),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,gpt-4-1106-preview-FC,FC,50.0
GPT-4-1106-Preview (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,2,Executable Function Error (Non REST): Runtime Execution Error,gpt-4-1106-preview-FC,FC,100.0
GPT-4-1106-Preview (FC),exec_parallel_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,gpt-4-1106-preview-FC,FC,40.0
GPT-4-1106-Preview (FC),exec_parallel,Value Error, Execution Result Count,4,Value Error: Execution Result Count,gpt-4-1106-preview-FC,FC,50.0
GPT-4-1106-Preview (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,7,Executable Function Error (REST): Runtime Execution Error,gpt-4-1106-preview-FC,FC,70.0
GPT-4-1106-Preview (FC),exec_rest,Function Parsing Error, Decoding Failure,5,Function Parsing Error: Decoding Failure,gpt-4-1106-preview-FC,FC,70.0
GPT-4-1106-Preview (FC),exec_rest,Function Parsing Error, Incorrect REST Parsing Output Format,1,Function Parsing Error: Incorrect REST Parsing Output Format,gpt-4-1106-preview-FC,FC,70.0
Command-R-Plus (FC) (Original),exec_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,command-r-plus-FC,FC,50.0
Command-R-Plus (FC) (Original),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,1,Executable Function Error (Non REST): Incorrect Execution Result,command-r-plus-FC,FC,100.0
Command-R-Plus (FC) (Original),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,3,Executable Function Error (Non REST): Runtime Execution Error,command-r-plus-FC,FC,100.0
Command-R-Plus (FC) (Original),exec_parallel_multiple,Function Parsing Error, Decoding Failure,2,Function Parsing Error: Decoding Failure,command-r-plus-FC,FC,40.0
Command-R-Plus (FC) (Original),exec_parallel_multiple,Value Error, Execution Result Count,1,Value Error: Execution Result Count,command-r-plus-FC,FC,40.0
Command-R-Plus (FC) (Original),exec_parallel,Value Error, Execution Result Count,6,Value Error: Execution Result Count,command-r-plus-FC,FC,50.0
Command-R-Plus (FC) (Original),exec_rest,Executable Error (REST), Response Format Error,7,Executable Error (REST): Response Format Error,command-r-plus-FC,FC,70.0
Command-R-Plus (FC) (Original),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,12,Executable Function Error (REST): Incorrect HTTP Status Code,command-r-plus-FC,FC,70.0
Command-R-Plus (FC) (Original),exec_rest,Executable Function Error (REST), Incorrect Response Key,3,Executable Function Error (REST): Incorrect Response Key,command-r-plus-FC,FC,70.0
Command-R-Plus (FC) (Original),exec_rest,Executable Function Error (REST), Runtime Execution Error,1,Executable Function Error (REST): Runtime Execution Error,command-r-plus-FC,FC,70.0
Functionary-Medium-v2.4 (FC),exec_multiple,Function Parsing Error, Incorrect Parsing Output Format,3,Function Parsing Error: Incorrect Parsing Output Format,meetkai_functionary-medium-v2.4-FC,FC,50.0
Functionary-Medium-v2.4 (FC),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,5,Executable Function Error (Non REST): Incorrect Execution Result,meetkai_functionary-medium-v2.4-FC,FC,100.0
Functionary-Medium-v2.4 (FC),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,2,Executable Function Error (Non REST): Runtime Execution Error,meetkai_functionary-medium-v2.4-FC,FC,100.0
Functionary-Medium-v2.4 (FC),exec_simple,Function Parsing Error, Incorrect Parsing Output Format,5,Function Parsing Error: Incorrect Parsing Output Format,meetkai_functionary-medium-v2.4-FC,FC,100.0
Functionary-Medium-v2.4 (FC),exec_parallel_multiple,Value Error, Execution Result Count,3,Value Error: Execution Result Count,meetkai_functionary-medium-v2.4-FC,FC,40.0
Functionary-Medium-v2.4 (FC),exec_parallel,Function Parsing Error, Incorrect Parsing Output Format,1,Function Parsing Error: Incorrect Parsing Output Format,meetkai_functionary-medium-v2.4-FC,FC,50.0
Functionary-Medium-v2.4 (FC),exec_parallel,Value Error, Execution Result Count,3,Value Error: Execution Result Count,meetkai_functionary-medium-v2.4-FC,FC,50.0
Functionary-Medium-v2.4 (FC),exec_rest,Executable Function Error (REST), Incorrect HTTP Status Code,8,Executable Function Error (REST): Incorrect HTTP Status Code,meetkai_functionary-medium-v2.4-FC,FC,70.0
Functionary-Medium-v2.4 (FC),exec_rest,Executable Function Error (REST), Incorrect Response Key,1,Executable Function Error (REST): Incorrect Response Key,meetkai_functionary-medium-v2.4-FC,FC,70.0
Functionary-Medium-v2.4 (FC),exec_rest,Executable Function Error (REST), Runtime Execution Error,16,Executable Function Error (REST): Runtime Execution Error,meetkai_functionary-medium-v2.4-FC,FC,70.0
Functionary-Medium-v2.4 (FC),exec_rest,Function Parsing Error, Incorrect REST Parsing Output Format,13,Function Parsing Error: Incorrect REST Parsing Output Format,meetkai_functionary-medium-v2.4-FC,FC,70.0
Claude-3-Haiku-20240307 (FC tools-2024-04-04),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,1,Executable Function Error (Non REST): Incorrect Execution Result,claude-3-haiku-20240307-FC,FC tools-2024-04-04,100.0
Claude-3-Haiku-20240307 (FC tools-2024-04-04),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,claude-3-haiku-20240307-FC,FC tools-2024-04-04,100.0
Claude-3-Haiku-20240307 (FC tools-2024-04-04),exec_parallel_multiple,Value Error, Execution Result Count,40,Value Error: Execution Result Count,claude-3-haiku-20240307-FC,FC tools-2024-04-04,40.0
Claude-3-Haiku-20240307 (FC tools-2024-04-04),exec_parallel,Value Error, Execution Result Count,49,Value Error: Execution Result Count,claude-3-haiku-20240307-FC,FC tools-2024-04-04,50.0
Claude-3-Haiku-20240307 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Incorrect Response Key,2,Executable Function Error (REST): Incorrect Response Key,claude-3-haiku-20240307-FC,FC tools-2024-04-04,70.0
Claude-3-Haiku-20240307 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Runtime Execution Error,9,Executable Function Error (REST): Runtime Execution Error,claude-3-haiku-20240307-FC,FC tools-2024-04-04,70.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,1,Executable Function Error (Non REST): Incorrect Execution Result,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,100.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_simple,Executable Function Error (Non REST), Runtime Execution Error,1,Executable Function Error (Non REST): Runtime Execution Error,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,100.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_parallel_multiple,Value Error, Execution Result Count,40,Value Error: Execution Result Count,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,40.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_parallel,Function Parsing Error, Decoding Failure,1,Function Parsing Error: Decoding Failure,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,50.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_parallel,Value Error, Execution Result Count,49,Value Error: Execution Result Count,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,50.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Incorrect Response Key,2,Executable Function Error (REST): Incorrect Response Key,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,70.0
Claude-3-Sonnet-20240229 (FC tools-2024-04-04),exec_rest,Executable Function Error (REST), Runtime Execution Error,19,Executable Function Error (REST): Runtime Execution Error,claude-3-sonnet-20240229-FC,FC tools-2024-04-04,70.0
Deepseek-v1.5 (Prompt),exec_multiple,Function Parsing Error, Decoding Failure,24,Function Parsing Error: Decoding Failure,deepseek-ai_deepseek-coder-6.7b-instruct,Prompt,50.0
Deepseek-v1.5 (Prompt),exec_simple,Executable Function Error (Non REST), Incorrect Execution Result,7,Executable Function Error (Non REST): Incorrect Execution Result,deepseek-ai_deepseek-coder-6.7b-instruct,Prompt,100.0
Deepseek-v1.5 (Prompt),exec_simple,Function Parsing Error, Decoding Failure,52,Function Parsing Error: Decoding Failure,deepseek-ai_deepseek-coder-6.7b-instruct,Prompt,100.0
Deepseek-v1.5 (Prompt),exec_parallel_multiple,Function Parsing Error, Decoding Failure,21,Function Parsing Error: Decoding Failure,deepseek-ai_deepseek-coder-6.7b-instruct,Prompt,40.0
Deepseek-v1.5 (Prompt),exec_parallel_multiple,Value Error, Execution Result Count,9,Value Error: Execution Result Count,deepseek-ai_deepseek-coder-6.7b-instruct,Prompt,40.0
